Track_Main_Artist;Fecha;Ciudad;Pais
Aitana;2022-11-16T21:00:00-0300;Santiago;Chile
Aitana;2022-11-04;Madrid;Spain
Aitana;2022-10-15T23:00:00-0500;Monterrey;Mexico
Aitana;2022-10-14T20:30:00-0500;Mexico City;Mexico
Aitana;2022-10-11T20:30:00-0500;Guadalajara;Mexico
Aitana;2022-09-18T19:30:00+0200;Madrid;Spain
Aitana;2022-09-16T19:30:00+0200;Fuengirola;Spain
Aitana;2022-09-15T19:30:00+0200;Seville;Spain
Aitana;2022-09-10T19:30:00+0200;Barakaldo;Spain
Aitana;2022-09-08T19:30:00+0200;Valencia;Spain
Aitana;2022-09-03T19:30:00+0200;Barcelona;Spain
Bad Bunny;2022-12-10T20:30:00-0600;Mexico City;Mexico
Bad Bunny;2022-12-09T20:30:00-0600;Mexico City;Mexico
Bad Bunny;2022-12-03;Guadalupe;Mexico
Bad Bunny;2022-12-01T20:00:00-0600;Guatemala City;Guatemala
Bad Bunny;2022-11-29T19:00:00-0600;San Pedro Sula;Honduras
Bad Bunny;2022-11-26;San Salvador;El Salvador
Bad Bunny;2022-11-24;San Jose;Costa Rica
Bad Bunny;2022-11-22T21:00:00-0500;Panama City;Panama
Bad Bunny;2022-11-19T20:00:00-0500;Medellín;Colombia
Bad Bunny;2022-11-18T20:00:00-0500;Medellín;Colombia
Bad Bunny;2022-11-16;Quito;Ecuador
Bad Bunny;2022-11-14T19:00:00-0500;Lima;Peru
Bad Bunny;2022-11-13T19:00:00-0500;Lima;Peru
Bad Bunny;2022-11-11T21:00:00-0300;Asunción;Paraguay
Bad Bunny;2022-11-05T21:00:00-0300;Buenos Aires;Argentina
Bad Bunny;2022-11-04T21:00:00-0300;Buenos Aires;Argentina
Bad Bunny;2022-10-28;Santiago;Chile
Bad Bunny;2022-10-21;Santo Domingo;Dominican Republic
Bad Bunny;2022-10-01T19:00:00-0700;Inglewood;US
Bad Bunny;2022-09-30T19:00:00-0700;Inglewood;US
Bad Bunny;2022-09-28T19:00:00-0700;Phoenix;US
Bad Bunny;2022-09-24;Las Vegas;US
Bad Bunny;2022-09-23T19:00:00-0700;Las Vegas;US
Bad Bunny;2022-09-22T21:00:00-0400;Tampa;US
Bad Bunny;2022-09-18T19:00:00-0700;San Diego;US
Bad Bunny;2022-09-17T19:00:00-0700;San Diego;US
Bad Bunny;2022-09-15T20:00:00-0400;Charlotte;US
Bad Bunny;2022-09-14T19:00:00-0700;Oakland;US
Bad Bunny;2022-09-10T18:00:00-0400;New York (NYC);US
Bad Bunny;2022-09-09T19:00:00-0500;Arlington;US
Bad Bunny;2022-09-07T19:00:00-0500;San Antonio;US
Bad Bunny;2022-09-03;Philadelphia;US
Bad Bunny;2022-09-02T19:00:00-0500;Houston;US
Bad Bunny;2022-09-01T19:00:00-0500;Houston;US
Bad Bunny;2022-08-28T19:00:00-0400;Bronx;US
Bad Bunny;2022-08-27T19:00:00-0400;Bronx;US
Bad Bunny;2022-08-23T19:00:00-0400;Washington;US
Bad Bunny;2022-08-20T18:30:00-0500;Chicago;US
Bad Bunny;2022-08-18T18:30:00-0400;Boston;US
Bad Bunny;2022-08-16T18:00:00-0400;Boston;US
Bad Bunny;2022-08-13T19:00:00-0400;Miami;US
Bad Bunny;2022-08-12T19:00:00-0400;Miami;US
Bad Bunny;2022-08-08T19:00:00-0400;Atlanta;US
Bad Bunny;2022-08-05T19:00:00-0400;Orlando;US
Bad Bunny;2022-04-03T20:00:00-0400;Miami;US
Bad Bunny;2022-04-02T20:00:00-0400;Miami;US
Bad Bunny;2022-04-01T20:00:00-0400;Miami;US
Bad Bunny;2022-03-30T20:00:00-0400;Orlando;US
Bad Bunny;2022-03-29T20:00:00-0400;Orlando;US
Bad Bunny;2022-03-27T19:00:00-0400;Atlanta;US
Bad Bunny;2022-03-26T20:00:00-0400;Charlotte;US
Bad Bunny;2022-03-25T20:00:00-0400;Washington;US
Bad Bunny;2022-03-23T20:00:00-0400;Montreal;Canada
Bad Bunny;2022-03-22T20:00:00-0400;Boston;US
Bad Bunny;2022-03-20T20:00:00-0400;Brooklyn;US
Bad Bunny;2022-03-19T20:00:00-0400;Brooklyn;US
Bad Bunny;2022-03-18T20:00:00-0400;Newark;US
Bad Bunny;2022-03-16T20:00:00-0400;Philadelphia;US
Bad Bunny;2022-03-14T22:30:00-0400;Toronto;Canada
Bad Bunny;2022-03-14T20:00:00-0400;Toronto;Canada
Bad Bunny;2022-03-12T20:00:00-0600;Rosemont;US
Bad Bunny;2022-03-11T20:00:00-0600;Rosemont;US
Bad Bunny;2022-03-10T20:00:00-0600;Rosemont;US
Bad Bunny;2022-03-06T19:00:00-0700;Phoenix;US
Bad Bunny;2022-03-05T20:00:00-0800;Las Vegas;US
Bad Bunny;2022-03-04T20:00:00-0800;San Jose;US
Bad Bunny;2022-03-03T20:00:00-0800;San Jose;US
Bad Bunny;2022-03-01T20:00:00-0800;Seattle;US
Bad Bunny;2022-02-28T20:00:00-0800;Portland;US
Bad Bunny;2022-02-26T20:00:00-0800;Inglewood;US
Bad Bunny;2022-02-25T20:00:00-0800;Inglewood;US
Bad Bunny;2022-02-24T21:00:00-0800;Los Angeles (LA);US
Bad Bunny;2022-02-23T20:00:00-0800;San Diego;US
Bad Bunny;2022-02-19T20:00:00-0600;Dallas;US
Bad Bunny;2022-02-18T20:00:00-0600;Dallas;US
Bad Bunny;2022-02-17T20:00:00-0600;Houston;US
Bad Bunny;2022-02-16T20:00:00-0600;Houston;US
Bad Bunny;2022-02-13T20:30:00-0600;Hidalgo;US
Bad Bunny;2022-02-11T20:00:00-0600;El Paso;US
Bad Bunny;2022-02-09T20:00:00-0700;Denver;US
Bad Gyal;2022-12-02T13:00:00-0600;Monterrey;Mexico
Bad Gyal;2022-11-30T21:00:00-0600;Mexico City;Mexico
Bad Gyal;2022-11-26;Mexico City;Mexico
Bad Gyal;2022-11-07;Santiago;Chile
