Track_Main_Artist;Fecha;Ciudad;Pais
Aitana;2022-12-20;Madrid;Spain
Aitana;2022-11-16;Santiago;Chile
Aitana;2022-11-04;Madrid;Spain
Aitana;2022-10-15;Monterrey;Mexico
Aitana;2022-10-14;Mexico City;Mexico
Aitana;2022-10-11;Guadalajara;Mexico
Aitana;2022-09-18;Madrid;Spain
Aitana;2022-09-16;Fuengirola;Spain
Aitana;2022-09-15;Seville;Spain
Aitana;2022-09-10;Barakaldo;Spain
Aitana;2022-09-08;Valencia;Spain
Aitana;2022-09-03;Barcelona;Spain
Bad Bunny;2022-12-10;Mexico City;Mexico
Bad Bunny;2022-12-09;Mexico City;Mexico
Bad Bunny;2022-12-03;Guadalupe;Mexico
Bad Bunny;2022-12-01;Guatemala City;Guatemala
Bad Bunny;2022-11-29;San Pedro Sula;Honduras
Bad Bunny;2022-11-26;San Salvador;El Salvador
Bad Bunny;2022-11-24;San Jose;Costa Rica
Bad Bunny;2022-11-22;Panama City;Panama
Bad Bunny;2022-11-19;Medellín;Colombia
Bad Bunny;2022-11-18;Medellín;Colombia
Bad Bunny;2022-11-16;Quito;Ecuador
Bad Bunny;2022-11-14;Lima;Peru
Bad Bunny;2022-11-13;Lima;Peru
Bad Bunny;2022-11-11;Asunción;Paraguay
Bad Bunny;2022-11-05;Buenos Aires;Argentina
Bad Bunny;2022-11-04;Buenos Aires;Argentina
Bad Bunny;2022-10-28;Santiago;Chile
Bad Bunny;2022-10-21;Santo Domingo;Dominican Republic
Bad Bunny;2022-10-01;Inglewood;US
Bad Bunny;2022-09-30;Inglewood;US
Bad Bunny;2022-09-28;Phoenix;US
Bad Bunny;2022-09-24;Las Vegas;US
Bad Bunny;2022-09-23;Las Vegas;US
Bad Bunny;2022-09-22;Tampa;US
Bad Bunny;2022-09-18;San Diego;US
Bad Bunny;2022-09-17;San Diego;US
Bad Bunny;2022-09-15;Charlotte;US
Bad Bunny;2022-09-14;Oakland;US
Bad Bunny;2022-09-10;New York (NYC);US
Bad Bunny;2022-09-09;Arlington;US
Bad Bunny;2022-09-07;San Antonio;US
Bad Bunny;2022-09-03;Philadelphia;US
Bad Bunny;2022-09-02;Houston;US
Bad Bunny;2022-09-01;Houston;US
Bad Bunny;2022-08-28;Bronx;US
Bad Bunny;2022-08-27;Bronx;US
Bad Bunny;2022-08-23;Washington;US
Bad Bunny;2022-08-20;Chicago;US
Bad Bunny;2022-08-18;Boston;US
Bad Bunny;2022-08-16;Boston;US
Bad Bunny;2022-08-13;Miami;US
Bad Bunny;2022-08-12;Miami;US
Bad Bunny;2022-08-08;Atlanta;US
Bad Bunny;2022-08-05;Orlando;US
Bad Bunny;2022-04-03;Miami;US
Bad Bunny;2022-04-02;Miami;US
Bad Bunny;2022-04-01;Miami;US
Bad Bunny;2022-03-30;Orlando;US
Bad Bunny;2022-03-29;Orlando;US
Bad Bunny;2022-03-27;Atlanta;US
Bad Bunny;2022-03-26;Charlotte;US
Bad Bunny;2022-03-25;Washington;US
Bad Bunny;2022-03-23;Montreal;Canada
Bad Bunny;2022-03-22;Boston;US
Bad Bunny;2022-03-20;Brooklyn;US
Bad Bunny;2022-03-19;Brooklyn;US
Bad Bunny;2022-03-18;Newark;US
Bad Bunny;2022-03-16;Philadelphia;US
Bad Bunny;2022-03-14;Toronto;Canada
Bad Bunny;2022-03-14;Toronto;Canada
Bad Bunny;2022-03-12;Rosemont;US
Bad Bunny;2022-03-11;Rosemont;US
Bad Bunny;2022-03-10;Rosemont;US
Bad Bunny;2022-03-06;Phoenix;US
Bad Bunny;2022-03-05;Las Vegas;US
Bad Bunny;2022-03-04;San Jose;US
Bad Bunny;2022-03-03;San Jose;US
Bad Bunny;2022-03-01;Seattle;US
