Track_Main_Artist;Fecha;Ciudad;Pais
Adele;2022-12-31;Las Vegas;US
Adele;2022-12-30;Las Vegas;US
Adele;2022-12-24;Las Vegas;US
Adele;2022-12-23;Las Vegas;US
Adele;2022-12-17;Las Vegas;US
Adele;2022-12-16;Las Vegas;US
Adele;2022-12-10;Las Vegas;US
Adele;2022-12-09;Las Vegas;US
Adele;2022-12-03;Las Vegas;US
Adele;2022-12-02;Las Vegas;US
Adele;2022-11-26;Las Vegas;US
Adele;2022-11-25;Las Vegas;US
Adele;2022-11-19;Las Vegas;US
Adele;2022-11-18;Las Vegas;US
Adele;2022-07-02;London;UK
Adele;2022-07-02;London;UK
Adele;2022-07-01;London;UK
Adele;2022-07-01;London;UK
Bad Bunny;2022-12-10;Mexico City;Mexico
Bad Bunny;2022-12-09;Mexico City;Mexico
Bad Bunny;2022-12-03;Guadalupe;Mexico
Bad Bunny;2022-12-01;Guatemala City;Guatemala
Bad Bunny;2022-11-29;San Pedro Sula;Honduras
Bad Bunny;2022-11-26;San Salvador;El Salvador
Bad Bunny;2022-11-24;San Jose;Costa Rica
Bad Bunny;2022-11-22;Panama City;Panama
Bad Bunny;2022-11-19;Medellín;Colombia
Bad Bunny;2022-11-18;Medellín;Colombia
Bad Bunny;2022-11-16;Quito;Ecuador
Bad Bunny;2022-11-14;Lima;Peru
Bad Bunny;2022-11-13;Lima;Peru
Bad Bunny;2022-11-11;Asunción;Paraguay
Bad Bunny;2022-11-05;Buenos Aires;Argentina
Bad Bunny;2022-11-04;Buenos Aires;Argentina
Bad Bunny;2022-10-28;Santiago;Chile
Bad Bunny;2022-10-21;Santo Domingo;Dominican Republic
Bad Bunny;2022-10-01;Inglewood;US
Bad Bunny;2022-09-30;Inglewood;US
Bad Bunny;2022-09-28;Phoenix;US
Bad Bunny;2022-09-24;Las Vegas;US
Bad Bunny;2022-09-23;Las Vegas;US
Bad Bunny;2022-09-22;Tampa;US
Bad Bunny;2022-09-18;San Diego;US
Bad Bunny;2022-09-17;San Diego;US
Bad Bunny;2022-09-15;Charlotte;US
Bad Bunny;2022-09-14;Oakland;US
Bad Bunny;2022-09-10;New York (NYC);US
Bad Bunny;2022-09-09;Arlington;US
Bad Bunny;2022-09-07;San Antonio;US
Bad Bunny;2022-09-03;Philadelphia;US
Bad Bunny;2022-09-02;Houston;US
Bad Bunny;2022-09-01;Houston;US
Bad Bunny;2022-08-28;Bronx;US
Bad Bunny;2022-08-27;Bronx;US
Bad Bunny;2022-08-23;Washington;US
Bad Bunny;2022-08-20;Chicago;US
Bad Bunny;2022-08-18;Boston;US
Bad Bunny;2022-08-16;Boston;US
Bad Bunny;2022-08-13;Miami;US
Bad Bunny;2022-08-12;Miami;US
Bad Bunny;2022-08-08;Atlanta;US
Bad Bunny;2022-08-05;Orlando;US
Bad Bunny;2022-04-03;Miami;US
Bad Bunny;2022-04-02;Miami;US
Bad Bunny;2022-04-01;Miami;US
Bad Bunny;2022-03-30;Orlando;US
Bad Bunny;2022-03-29;Orlando;US
Bad Bunny;2022-03-27;Atlanta;US
Bad Bunny;2022-03-26;Charlotte;US
Bad Bunny;2022-03-25;Washington;US
Bad Bunny;2022-03-23;Montreal;Canada
Bad Bunny;2022-03-22;Boston;US
Bad Bunny;2022-03-20;Brooklyn;US
Bad Bunny;2022-03-19;Brooklyn;US
Bad Bunny;2022-03-18;Newark;US
Bad Bunny;2022-03-16;Philadelphia;US
Bad Bunny;2022-03-14;Toronto;Canada
Bad Bunny;2022-03-14;Toronto;Canada
Bad Bunny;2022-03-12;Rosemont;US
Bad Bunny;2022-03-11;Rosemont;US
Bad Bunny;2022-03-10;Rosemont;US
Bad Bunny;2022-03-06;Phoenix;US
Bad Bunny;2022-03-05;Las Vegas;US
Bad Bunny;2022-03-04;San Jose;US
Bad Bunny;2022-03-03;San Jose;US
Bad Bunny;2022-03-01;Seattle;US
Bad Bunny;2022-02-28;Portland;US
Bad Bunny;2022-02-26;Inglewood;US
Bad Bunny;2022-02-25;Inglewood;US
Bad Bunny;2022-02-24;Los Angeles (LA);US
Bad Bunny;2022-02-23;San Diego;US
Bad Bunny;2022-02-19;Dallas;US
Bad Bunny;2022-02-18;Dallas;US
Bad Bunny;2022-02-17;Houston;US
Bad Bunny;2022-02-16;Houston;US
Bad Bunny;2022-02-13;Hidalgo;US
Bad Bunny;2022-02-11;El Paso;US
Bad Bunny;2022-02-09;Denver;US
Becky G;2022-11-17;Las Vegas;US
Becky G;2022-10-22;Los Angeles (LA);US
Becky G;2022-10-08;Newark;US
Becky G;2022-08-06;Houston;US
Becky G;2022-08-04;Dallas;US
Becky G;2022-06-23;Las Vegas;US
Becky G;2022-06-10;Queens;US
Becky G;2022-06-04;Carson;US
Becky G;2022-06-03;San Diego;US
Becky G;2022-05-13;Mexico City;Mexico
Becky G;2022-05-12;Miami Beach;US
Becky G;2022-05-05;Las Vegas;US
Becky G;2022-04-30;Las Vegas;US
Becky G;2022-04-07;Miami Beach;US
Becky G;2022-01-14;Los Angeles (LA);US
Camila Cabello;2022-09-24;Santiago;Chile
Camila Cabello;2022-09-23;Santiago;Chile
Camila Cabello;2022-09-21;Santiago;Chile
Camila Cabello;2022-09-20;Santiago;Chile
Camila Cabello;2022-09-17;Bogota;Colombia
Camila Cabello;2022-09-16;Bogota;Colombia
Camila Cabello;2022-09-14;Lima;Peru
Camila Cabello;2022-09-13;Lima;Peru
Camila Cabello;2022-09-02;Rio de Janeiro;Brazil
Camila Cabello;2022-06-05;Mountain View;US
Camila Cabello;2022-06-04;Carson;US
Coldplay;2022-11-08;Buenos Aires;Argentina
Coldplay;2022-11-07;Buenos Aires;Argentina
Coldplay;2022-11-05;Buenos Aires;Argentina
Coldplay;2022-11-04;Buenos Aires;Argentina
Coldplay;2022-11-02;Buenos Aires;Argentina
Coldplay;2022-11-01;Buenos Aires;Argentina
Coldplay;2022-10-29;Buenos Aires;Argentina
Coldplay;2022-10-28;Buenos Aires;Argentina
Coldplay;2022-10-26;Buenos Aires;Argentina
Coldplay;2022-10-25;Buenos Aires;Argentina
Coldplay;2022-09-24;Santiago;Chile
Coldplay;2022-09-23;Santiago;Chile
Coldplay;2022-09-21;Santiago;Chile
Coldplay;2022-09-20;Santiago;Chile
Coldplay;2022-09-17;Bogota;Colombia
Coldplay;2022-09-16;Bogota;Colombia
Coldplay;2022-09-14;Lima;Peru
Coldplay;2022-09-13;Lima;Peru
Coldplay;2022-09-02;Rio de Janeiro;Brazil
Coldplay;2022-08-24;Glasgow;UK
Coldplay;2022-08-23;Glasgow;UK
Coldplay;2022-08-21;London;UK
Coldplay;2022-08-20;London;UK
Coldplay;2022-08-17;London;UK
Coldplay;2022-08-16;London;UK
Coldplay;2022-08-13;London;UK
Coldplay;2022-08-12;London;UK
Coldplay;2022-08-09;Brussels;Belgium
Coldplay;2022-08-08;Brussels;Belgium
Coldplay;2022-08-06;Brussels;Belgium
Coldplay;2022-08-05;Brussels;Belgium
Coldplay;2022-07-20;Saint-Denis;France
