Track_ID;Release_Date;Track_Popularity;ISRC
2tTmW7RDtMQtBk7m2rYeSw;2022-07-06;97;UYB282201028
1IHWl5LamUGEuP4ozKQSXZ;2022-05-06;95;QM6MZ2214878
5ww2BF9slyYgNOk37BlC4u;2022-05-26;98;QZDYA1800087
6Sq7ltF9Qa7SNFBsV5Cogx;2022-05-06;96;QM6MZ2214877
6VAS7m73rDopQe7BdrFMpD;2021-12-29;82;UYB282101025
0Bv7O6fmZk3GrNQFYJaXPn;2022-01-14;77;ES5152101308
6mmPpaltUZK7xjNlBPQQ0p;2021-12-10;85;USSD12100779
5ildQOEKmJuWGl2vRkFdYc;2022-07-28;91;USSM12207207
3k3NWokhRRkEPhCzPmV8TW;2022-05-06;94;QM6MZ2214888
41oY4WCTj5kccfesTVFnvN;2022-05-06;89;QM6MZ2214881
6ylDpki1VpIsc525KC1ojF;2022-01-28;80;USUM72119612
2hLXUbsOU9cDb9RFva9FYr;2022-04-01;84;QM4TX2252943
5TMLavqGRKNxgzMBrVpC9R;2021-08-18;84;ES5702101693
7FlQk2gJ6TBrHHiidvdR2O;2022-05-13;81;USRC12200425
0TkIQ2I48rz4kpk1XpfyHq;2022-01-28;75;ES71G2201750
6Xom58OOXk2SoU711L2IXO;2022-05-06;92;QM6MZ2214875
2rurDawMfoKP4uHyb2kJBt;2022-04-21;89;USQX92201764
1O2pcBJGej0pmH2Y9XZMs6;2022-01-21;87;QM4TW2218961
7dSZ6zGTQx66c2GF91xCrb;2022-04-22;91;USUM72205906
04d4GpLedinwpfctvgOIhY;2021-08-07;75;SE6TI2137334
1Y62KpDaP5MEL43ZcI6IaG;2022-07-22;85;ZZOPM2235984
5jt25aFjW2kNoBqaEVaz5W;2022-04-01;89;QM4TX2252954
6stWVqWxtPPednHy1mzoOz;2022-05-20;72;ES71G2217944
3nfICwo20uiFdEGzgNUSrG;2021-12-02;77;ES5702102102
4iaNmAvcZ6sPGvgZ6vQQdx;2021-12-11;76;SE62M2128790
5h5TUj8pU2WhdSeJx9BnX2;2021-12-24;73;QMFMF2131945
03a359wbiUsjN9h6yzXvmS;2018-03-12;80;QZ5FN1767793
4FjkjrvfbB3C4eUqWlw3vB;2022-01-28;70;ES71G2201747
4srcMdbm2qzVG98tJajHxp;2022-03-18;81;USUG12201485
