Track_ID;Duracion_MS;Duracion;Loudness_dB;Clave;Modo;Tempo_BPM;Compas;Danceability;Energy;Speechiness;Instrumentalness;Acousticness;Liveness;Valence
2tTmW7RDtMQtBk7m2rYeSw;198938;0:03:18.938000;-5.548;2;1;128.033;4;0.621;0.782;0.044;0.033;0.0125;0.23;0.55
1IHWl5LamUGEuP4ozKQSXZ;243717;0:04:03.717000;-5.198;5;0;106.672;4;0.65;0.715;0.253;0.000291;0.0993;0.126;0.187
5ww2BF9slyYgNOk37BlC4u;162638;0:02:42.638000;-5.329;7;0;124.98;4;0.835;0.679;0.0364;1.98e-06;0.583;0.218;0.85
6Sq7ltF9Qa7SNFBsV5Cogx;178567;0:02:58.567000;-5.105;1;0;92.005;4;0.911;0.712;0.0817;2.68e-05;0.0901;0.0933;0.425
6VAS7m73rDopQe7BdrFMpD;160000;0:02:40;-3.06;8;0;96.561;4;0.657;0.821;0.32;0.0;0.459;0.103;0.752
0Bv7O6fmZk3GrNQFYJaXPn;413111;0:06:53.111000;-5.269;5;0;173.974;4;0.672;0.745;0.3;9.29e-06;0.438;0.0699;0.739
6mmPpaltUZK7xjNlBPQQ0p;224997;0:03:44.997000;-3.35;1;0;90.02;4;0.869;0.694;0.0783;0.00125;0.356;0.0878;0.511
5ildQOEKmJuWGl2vRkFdYc;157018;0:02:37.018000;-6.521;7;1;130.037;4;0.919;0.623;0.0992;1.63e-05;0.184;0.0609;0.775
3k3NWokhRRkEPhCzPmV8TW;258299;0:04:18.299000;-5.745;3;0;79.928;4;0.647;0.686;0.0413;1.34e-06;0.08;0.528;0.268
41oY4WCTj5kccfesTVFnvN;237895;0:03:57.895000;-3.971;11;0;114.011;4;0.795;0.684;0.0419;0.0;0.0225;0.658;0.419
6ylDpki1VpIsc525KC1ojF;189333;0:03:09.333000;-3.499;11;0;123.014;4;0.746;0.844;0.0359;0.0;0.062;0.149;0.934
2hLXUbsOU9cDb9RFva9FYr;228750;0:03:48.750000;-6.404;2;0;127.963;4;0.771;0.707;0.055;0.0;0.389;0.0745;0.317
5TMLavqGRKNxgzMBrVpC9R;179940;0:02:59.940000;-6.621;2;1;116.041;4;0.748;0.761;0.102;6.56e-06;0.122;0.0984;0.362
7FlQk2gJ6TBrHHiidvdR2O;226093;0:03:46.093000;-3.554;4;0;94.048;4;0.836;0.703;0.0657;0.0;0.0845;0.138;0.902
0TkIQ2I48rz4kpk1XpfyHq;168000;0:02:48;-6.359;6;1;200.031;4;0.705;0.526;0.327;0.000106;0.509;0.0742;0.671
6Xom58OOXk2SoU711L2IXO;245940;0:04:05.940000;-5.453;5;0;99.968;4;0.804;0.674;0.0333;1.18e-06;0.294;0.115;0.292
2rurDawMfoKP4uHyb2kJBt;172235;0:02:52.235000;-4.654;5;1;174.14;4;0.695;0.636;0.317;0.0;0.234;0.081;0.575
1O2pcBJGej0pmH2Y9XZMs6;153750;0:02:33.750000;-5.253;10;0;96.018;4;0.87;0.548;0.077;4.6e-05;0.0924;0.0534;0.832
7dSZ6zGTQx66c2GF91xCrb;210200;0:03:30.200000;-8.006;1;1;111.005;4;0.87;0.516;0.0541;0.00823;0.656;0.11;0.53
04d4GpLedinwpfctvgOIhY;213647;0:03:33.647000;-10.743;11;0;128.028;4;0.827;0.541;0.225;4.42e-05;0.46;0.0948;0.256
