Artist_ID;Artist;Followers_Spotify;Genres_List;Artist_Popularity
716NhGYqD1jl2wI1Qkgq36;Bizarrap;8381159;['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino'];86
4q3ewBCX7sLwd24euuV69X;Bad Bunny;62302770;['reggaeton', 'trap latino', 'urbano latino'];100
0tmwSHipWxN12fsoLcFU3B;Manuel Turizo;11141706;['colombian pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino'];85
0IEzMvarfVycBJAXjjEZOL;La Pantera;26708;['rap canario'];64
1mcTU81TzQhprhouKaTkpq;Rauw Alejandro;15009769;['puerto rican pop', 'trap latino', 'urbano latino'];90
7ltDVBr6mKbRvohxheJ9h1;ROSALÍA;6547564;['r&b en espanol'];85
07YUOmWljBTXwIseAUd9TW;Sebastian Yatra;20672026;['colombian pop', 'reggaeton colombiano'];82
0Q8NcsJwoCbZOHHW63su5S;Mora;1251201;['trap latino', 'urbano latino'];86
7c53ZFyajVMTo08HmvoB6b;zzoilo;75240;[];66
4obzFoKoKRHIphyHzJ35G3;Becky G;12911473;['dance pop', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton'];79
2CCgb0KApjfQDuTppovpf8;Rvfv;375680;['drill espanol', 'flamenco urbano', 'urbano espanol', 'urbano latino'];72
0EmeFodog0BfCgMzAIvKQp;Shakira;26097826;['colombian pop', 'dance pop', 'latin pop'];87
1Yj5Xey7kTwvZla8sqdsdE;Cris Mj;871155;['mambo chileno', 'urbano chileno', 'urbano latino'];81
790FomKkXshlbRYZFtlgla;KAROL G;31191711;['reggaeton', 'reggaeton colombiano', 'urbano latino'];87
52iwsT98xCoGgiGntTiR7K;Quevedo;928320;['rap canario', 'urbano latino'];87
7eLcDZDYHXZCebtQmVFL25;Aitana;2392704;['latin pop', 'latin talent show', 'spanish pop'];77
4az97MtWmBQ5Db3GfDh9j9;Morad;1384021;['drill espanol', 'urbano espanol'];76
1bAftSH8umNcGZ0uyV7LMg;Duki;7696814;['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino'];85
50sIhX3HytFEwQXZJLUZQE;Alejo;44200;['reggaeton', 'trap latino', 'urbano latino'];68
4axKuDPr6WKcDCyh8vueTY;Luar La L;245643;['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino'];73
0qTZZWLzuD59Un5r1speHm;Chris Jedi;2170993;['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino'];71
6KImCVD70vtIoJWnq6nGn3;Harry Styles;25357650;['pop'];90
5TYxZTjIPqKM8K8NuP9woO;C. Tangana;2310233;['urbano espanol'];76
7j6DKwmjbxvpQO8h914uEz;Ryan Castro;1354055;['reggaeton', 'trap colombiano', 'urbano latino'];75
768O5GliF0bqscyghggrbE;Polimá Westcoast;408587;['trap chileno', 'trap triste', 'urbano chileno', 'urbano latino'];78
22dFwJoRBV51ue5TGnC7Dt;Beny Jr;640178;['drill espanol'];71
6k8mwkKJKKjBILo7ypBspl;Ana Mena;581828;['latin pop', 'spanish pop'];70
6nVcHLIgY5pE2YCl8ubca1;Jhayco;490993;['reggaeton', 'trap latino', 'urbano latino'];84
7dL0nOHwnSAsNAwpkPSGWP;sangiovanni;785441;['italian pop'];65
3lY9Fxceu60W1rbon7PkuF;Omar Montes;509272;['flamenco urbano', 'urbano espanol'];71
