Artist_ID;Artist;Followers_Spotify;Genres_List;Artist_Popularity
6KImCVD70vtIoJWnq6nGn3;Harry Styles;25357650;['pop'];90
4yvcSjfu4PC0CYQyLy4wSq;Glass Animals;3576570;['gauze pop', 'indietronica', 'shiver pop'];79
2tIP7SsRs7vjIcLrU85W8J;The Kid LAROI;4167326;['australian hip hop', 'pop'];82
4q3ewBCX7sLwd24euuV69X;Bad Bunny;62302770;['reggaeton', 'trap latino', 'urbano latino'];100
3PhoLpVuITZKcymswpck5b;Elton John;10725977;['glam rock', 'mellow gold', 'piano rock'];86
53XhwfbYqKCa1cC15pYq2q;Imagine Dragons;44605288;['modern rock', 'rock'];89
716NhGYqD1jl2wI1Qkgq36;Bizarrap;8381159;['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino'];86
1aSxMhuvixZ8h9dK9jIDwL;Kate Bush;1596621;['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter'];74
7jVv8c5Fj3E9VhNjxT4snq;Lil Nas X;12211485;['lgbtq+ hip hop', 'pop'];83
2VSHKHBTiXWplO8lxcnUC9;GAYLE;551212;['modern alternative pop'];70
1uNFoZAHBGtllmzznpCI3s;Justin Bieber;68899812;['canadian pop', 'pop'];92
3MZsBdqDrRTJihTHQrO6Dq;Joji;7784449;['viral pop'];86
6eUKZXaKkcviH0Ku9w2n3V;Ed Sheeran;107397209;['pop', 'uk pop'];91
4dpARuHxo51G3z768sgnrY;Adele;45248267;['british soul', 'pop', 'pop soul', 'uk pop'];86
67MNhiAICFY6Pwc2YxCO0K;Elley Duhé;377662;['alt z', 'pop'];78
5cj0lLjcoR7YOSnhnX0Po5;Doja Cat;23879491;['dance pop', 'pop'];88
77SW9BnxLY8rJ0RciFqkHh;The Neighbourhood;11258286;['modern alternative rock', 'modern rock', 'pop', 'shimmer pop'];85
1mcTU81TzQhprhouKaTkpq;Rauw Alejandro;15009769;['puerto rican pop', 'trap latino', 'urbano latino'];90
2txHhyCwHjUEpJjWrEyqyX;Tom Odell;2750592;['chill pop'];79
790FomKkXshlbRYZFtlgla;KAROL G;31191711;['reggaeton', 'reggaeton colombiano', 'urbano latino'];87
4nDoRrQiYLoBzwC5BhVJzF;Camila Cabello;29014459;['dance pop', 'pop', 'post-teen pop'];82
2LIk90788K0zvyj2JJVwkJ;Jack Harlow;2762160;['deep underground hip hop', 'kentucky hip hop', 'rap'];82
1Xyo4u8uXC1ZmMpatF05PJ;The Weeknd;55941037;['canadian contemporary r&b', 'canadian pop', 'pop'];96
4obzFoKoKRHIphyHzJ35G3;Becky G;12911473;['dance pop', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton'];79
7f5Zgnp2spUuuzKplmRkt7;Lost Frequencies;2552492;['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house'];77
329e4yvIujISKGKz1BZZbO;Farruko;14502698;['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino'];85
1McMsnEElThX1knmY4oliG;Olivia Rodrigo;23224463;['pop'];84
2WzaAvm2bBCf4pEhyuDgCY;Ruth B.;2582152;['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop'];76
56oDRnqbIiwx4mymNEv7dS;Lizzo;5309650;['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen'];79
5Pwc4xIPtQLFEnJriah9YJ;OneRepublic;14829677;['piano rock', 'pop'];85
4gzpq5DPGxSnKTe4SA8HAU;Coldplay;40945712;['permanent wave', 'pop'];89
0tmwSHipWxN12fsoLcFU3B;Manuel Turizo;11141706;['colombian pop', 'reggaeton', 'reggaeton colombiano', 'urbano latino'];85
1Yj5Xey7kTwvZla8sqdsdE;Cris Mj;871155;['mambo chileno', 'urbano chileno', 'urbano latino'];81
027TpXKGwdXP7iwbjUSpV8;The Walters;442903;['chicago indie'];72
6QrQ7OrISRYIfS5mtacaw2;Jaymes Young;849174;['indie poptimism', 'modern rock', 'pop'];72
2o5jDhtHVPhrJdv3cEQ99Z;Tiësto;6660956;['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance', 'tropical house'];84
5XKFrudbV4IiuE5WuTPRmT;Stephen Sanchez;386675;['gen z singer-songwriter', 'pop'];80
0GM7qgcRCORpGnfcN2tCiB;Tainy;1156291;['latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino'];78
