Ranking;Region;Track_Name;Track_ID;Track_Main_Artist;Album_Name;Album_ID
1;SPAIN;Quevedo: Bzrp Music Sessions, Vol. 52;2tTmW7RDtMQtBk7m2rYeSw;Bizarrap;Quevedo: Bzrp Music Sessions, Vol. 52;4PNqWiJAfjj32hVvlchV5u
2;SPAIN;Tití Me Preguntó;1IHWl5LamUGEuP4ozKQSXZ;Bad Bunny;Un Verano Sin Ti;3RQQmkQEvNCY4prGKE6oc5
3;SPAIN;La Bachata;5ww2BF9slyYgNOk37BlC4u;Manuel Turizo;La Bachata;1TpGeAzOJgAGdPkcWl95r2
4;SPAIN;Me Porto Bonito;6Sq7ltF9Qa7SNFBsV5Cogx;Bad Bunny;Un Verano Sin Ti;3RQQmkQEvNCY4prGKE6oc5
5;SPAIN;Tiago PZK: Bzrp Music Sessions, Vol. 48;6VAS7m73rDopQe7BdrFMpD;Bizarrap;Tiago PZK: Bzrp Music Sessions, Vol. 48;2Mlyp5GSTI9XzBX7DrBuVn
6;SPAIN;Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix];0Bv7O6fmZk3GrNQFYJaXPn;La Pantera;Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix];0GkI5Xq0n0McicAumkuGyb
7;SPAIN;Desesperados;6mmPpaltUZK7xjNlBPQQ0p;Rauw Alejandro;VICE VERSA;2Nt6MDJXfoxQ22tIQgWXIh
8;SPAIN;DESPECHÁ;5ildQOEKmJuWGl2vRkFdYc;ROSALÍA;DESPECHÁ;5omNd3Mkij9C3ZeW19rRmv
9;SPAIN;Ojitos Lindos;3k3NWokhRRkEPhCzPmV8TW;Bad Bunny;Un Verano Sin Ti;3RQQmkQEvNCY4prGKE6oc5
10;SPAIN;Tarot;41oY4WCTj5kccfesTVFnvN;Bad Bunny;Un Verano Sin Ti;3RQQmkQEvNCY4prGKE6oc5
11;SPAIN;Tacones Rojos;6ylDpki1VpIsc525KC1ojF;Sebastian Yatra;Dharma;4qgRDM8Gyurf5hXV3LBmT8
12;SPAIN;MEMORIAS;2hLXUbsOU9cDb9RFva9FYr;Mora;MICRODOSIS;0QLDQG7Jx78rEUDW03IhHC
13;SPAIN;Mon Amour - Remix;5TMLavqGRKNxgzMBrVpC9R;zzoilo;Mon Amour (Remix);4TWsxSw8df17aja6JSaar5
14;SPAIN;MAMIII;7FlQk2gJ6TBrHHiidvdR2O;Becky G;ESQUEMAS;7eC4wtMG1I2Jtk4FDWbkKC
15;SPAIN;Mi Luz (ft. Rels B);0TkIQ2I48rz4kpk1XpfyHq;Rvfv;NASTU;6wl31M47YdcV6eNyfXCjCk
16;SPAIN;Moscow Mule;6Xom58OOXk2SoU711L2IXO;Bad Bunny;Un Verano Sin Ti;3RQQmkQEvNCY4prGKE6oc5
17;SPAIN;Te Felicito;2rurDawMfoKP4uHyb2kJBt;Shakira;Te Felicito;6gQKAYf3TJM9sppw3AtbHH
18;SPAIN;Una Noche en Medellín;1O2pcBJGej0pmH2Y9XZMs6;Cris Mj;Una Noche en Medellín;455Vc66bPFRI5D0zDEDn46
19;SPAIN;PROVENZA;7dSZ6zGTQx66c2GF91xCrb;KAROL G;PROVENZA;1wLB2bnCl2m5m9M9g8r93Y
