Ranking;Region;Track_Name;Track_ID;Track_Main_Artist;Album_Name;Album_ID
1;WORLD;As It Was;4LRPiXqCikLlN15c3yImP7;Harry Styles;As It Was;2pqdSWeJVsXAhHFuVLzuA8
2;WORLD;Heat Waves;02MWAaffLxlfxAUY7c5dvx;Glass Animals;Dreamland (+ Bonus Levels);0KTj6k94XZh0c6IEMfxeWV
3;WORLD;STAY (with Justin Bieber);5HCyWlXZPP0y6Gqq8TgA20;The Kid LAROI;STAY (with Justin Bieber);4QLAtpLNUsHEYrcHXmMIZZ
4;WORLD;Me Porto Bonito;6Sq7ltF9Qa7SNFBsV5Cogx;Bad Bunny;Un Verano Sin Ti;3RQQmkQEvNCY4prGKE6oc5
5;WORLD;Tití Me Preguntó;1IHWl5LamUGEuP4ozKQSXZ;Bad Bunny;Un Verano Sin Ti;3RQQmkQEvNCY4prGKE6oc5
6;WORLD;Cold Heart - PNAU Remix;6zSpb8dQRaw0M1dK8PBwQz;Elton John;Cold Heart (PNAU Remix);5D8Rdb09BkmHscEGSWAlA6
7;WORLD;Enemy (with JID) - from the series Arcane League of Legends;1r9xUipOqoNwggBpENDsvJ;Imagine Dragons;Enemy (with JID) [from the series Arcane League of Legends];1bTgKomQYSkKYPD9UI9W4b
8;WORLD;Quevedo: Bzrp Music Sessions, Vol. 52;2tTmW7RDtMQtBk7m2rYeSw;Bizarrap;Quevedo: Bzrp Music Sessions, Vol. 52;4PNqWiJAfjj32hVvlchV5u
9;WORLD;Ojitos Lindos;3k3NWokhRRkEPhCzPmV8TW;Bad Bunny;Un Verano Sin Ti;3RQQmkQEvNCY4prGKE6oc5
10;WORLD;Running Up That Hill (A Deal With God) - 2018 Remaster;29d0nY7TzCoi22XBqDQkiP;Kate Bush;Hounds of Love (2018 Remaster);3OYnManu1Nlxnw9OMng7BH
11;WORLD;INDUSTRY BABY (feat. Jack Harlow);27NovPIUIRrOZoCHxABJwK;Lil Nas X;INDUSTRY BABY (feat. Jack Harlow);622NFw5Yk0OReMJ2XWcXUh
12;WORLD;abcdefu;4fouWK6XVHhzl78KzQ1UjL;GAYLE;abcdefu;6tUQPKlpR4x1gjrXTtOImI
13;WORLD;Efecto;5Eax0qFko2dh7Rl2lYs3bx;Bad Bunny;Un Verano Sin Ti;3RQQmkQEvNCY4prGKE6oc5
14;WORLD;Ghost;6I3mqTwhRpn34SLVafSH7G;Justin Bieber;Justice;5dGWwsZ9iB2Xc3UKR0gif2
15;WORLD;Glimpse of Us;6xGruZOHLs39ZbVccQTuPZ;Joji;Glimpse of Us;6ZZvx0aefZV3LKa053fn71
16;WORLD;Moscow Mule;6Xom58OOXk2SoU711L2IXO;Bad Bunny;Un Verano Sin Ti;3RQQmkQEvNCY4prGKE6oc5
17;WORLD;Shivers;50nfwKoDiSYg8zOCREWAm5;Ed Sheeran;=;32iAEBstCjauDhyKpGjTuq
18;WORLD;Easy On Me;0gplL1WMoJ6iYaPgMCL0gX;Adele;Easy On Me;224jZ4sUX7OhAuMwaxp86S
19;WORLD;MIDDLE OF THE NIGHT;58HvfVOeJY7lUuCqF0m3ly;Elley Duhé;MIDDLE OF THE NIGHT;4hYYpUC8Ewb74tP23Y1lmM
20;WORLD;Woman;6Uj1ctrBOjOas8xZXGqKk4;Doja Cat;Planet Her;1nAQbHeOWTfQzbOoFrvndW
21;WORLD;Sweater Weather;2QjOHCTQ1Jl3zawyYOpxh6;The Neighbourhood;I Love You.;4xkM0BwLM9H2IUcbYzpcBI
22;WORLD;Desesperados;6mmPpaltUZK7xjNlBPQQ0p;Rauw Alejandro;VICE VERSA;2Nt6MDJXfoxQ22tIQgWXIh
23;WORLD;Another Love;3JvKfv6T31zO0ini8iNItO;Tom Odell;Long Way Down (Deluxe);0Gf1yE895FKK4YWVRuAeg8
24;WORLD;PROVENZA;7dSZ6zGTQx66c2GF91xCrb;KAROL G;PROVENZA;1wLB2bnCl2m5m9M9g8r93Y
25;WORLD;Bam Bam (feat. Ed Sheeran);0QBzMgT7NIeoCYy3sJCof1;Camila Cabello;Bam Bam (feat. Ed Sheeran);6FIMt58naoGYrOe4Wn2P3n
26;WORLD;First Class;0wHFktze2PHC5jDt3B17DC;Jack Harlow;Come Home The Kids Miss You;2eE8BVirX9VF8Di9hD90iw
27;WORLD;Blinding Lights;0VjIjW4GlUZAMYd2vXMi3b;The Weeknd;After Hours;4yP0hdKOZPNshxUOjY0cZj
28;WORLD;MAMIII;1ri9ZUkBJVFUdgwzCnfcYs;Becky G;MAMIII;6GHUywBU0u92lg0Dhrt40R
29;WORLD;Where Are You Now;3uUuGVFu1V7jTQL60S1r8z;Lost Frequencies;Where Are You Now;5YrOK7zze6egKg9a8WRcnD
30;WORLD;Bad Habits;3rmo8F54jFF8OgYsqTxm5d;Ed Sheeran;=;32iAEBstCjauDhyKpGjTuq
31;WORLD;Pepas;5fwSHlTEWpluwOM0Sxnh5k;Farruko;Pepas;2A5ksnhz7YWbRLvFMjX1j1
32;WORLD;good 4 u;4ZtFanR9U6ndgddUvNcjcG;Olivia Rodrigo;SOUR;6s84u2TUpR3wdUv4NgKA2j
33;WORLD;Dandelions;2eAvDnpXP5W0cVtiI0PUxV;Ruth B.;Safe Haven;6FgtuX3PtiB5civjHYhc52
34;WORLD;About Damn Time;1PckUlxKqWQs3RlWXVBLw3;Lizzo;About Damn Time;4JApkbiesQxv5drdEZRlZC
35;WORLD;THATS WHAT I WANT;0e8nrvls4Qqv5Rfa2UhqmO;Lil Nas X;MONTERO;6pOiDiuDQqrmo5DbG0ZubR
36;WORLD;I Ain't Worried;4h9wh7iOZ0GGn8QVp4RAOB;OneRepublic;"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")";04PEOM6kIEeq9lRp1asNP2
37;WORLD;My Universe;46HNZY1i7O6jwTA7Slo2PI;Coldplay;Music Of The Spheres;06mXfvDsRZNfnsGZvX2zpb
38;WORLD;La Bachata;5ww2BF9slyYgNOk37BlC4u;Manuel Turizo;La Bachata;1TpGeAzOJgAGdPkcWl95r2
39;WORLD;Una Noche en Medellín;1O2pcBJGej0pmH2Y9XZMs6;Cris Mj;Una Noche en Medellín;455Vc66bPFRI5D0zDEDn46
40;WORLD;I Love You So;4SqWKzw0CbA05TGszDgMlc;The Walters;I Love You So;7ucm85tRsWk6EyVHaYAxe9
41;WORLD;Infinity;1SOClUWhOi8vHZYMz3GluK;Jaymes Young;Feel Something;6MuWCR3WPjwyKhqsTKLZ3z
42;WORLD;Party;4tYFy8ALRjIZvnvSLw5lxN;Bad Bunny;Un Verano Sin Ti;3RQQmkQEvNCY4prGKE6oc5
43;WORLD;Watermelon Sugar;6UelLqGlWMcVH1E5c4H7lY;Harry Styles;Fine Line;7xV2TzoaVc0ycW7fwBwAml
44;WORLD;The Motto;18asYwWugKjjsihZ0YvRxO;Tiësto;The Motto;278z9UXJaMNDH9Bel9uAxV
45;WORLD;traitor;5CZ40GBx1sQ9agT82CLQCT;Olivia Rodrigo;SOUR;6s84u2TUpR3wdUv4NgKA2j
46;WORLD;Late Night Talking;1qEmFfgcLObUfQm0j1W2CK;Harry Styles;Harry's House;5r36AJ6VOJtp00oxSkBZ5h
47;WORLD;Until I Found You;0T5iIrXA4p5GsubkhuBIKV;Stephen Sanchez;Until I Found You;18CtLoAMTr7F8ngtuM6D8i
48;WORLD;Lo Siento BB:/ (with Bad Bunny & Julieta Venegas);4gzsuuZypVbxs0Af1LSZyB;Tainy;Lo Siento BB:/ (with Bad Bunny & Julieta Venegas);4589OIFRZp41qbsp7TWFCx
49;WORLD;Yonaguni;2JPLbjOn0wPCngEot2STUS;Bad Bunny;Yonaguni;6VSOIs13DaSG2IPilNviX5
50;WORLD;Tarot;41oY4WCTj5kccfesTVFnvN;Bad Bunny;Un Verano Sin Ti;3RQQmkQEvNCY4prGKE6oc5
