Track_ID;Track_Main_Artist;Track_Main_Artist_ID;Track_Featured_Artist;Track_Featured_Artist_ID;Track_Popularity
2tTmW7RDtMQtBk7m2rYeSw;Bizarrap;716NhGYqD1jl2wI1Qkgq36;Bizarrap;716NhGYqD1jl2wI1Qkgq36;97
2tTmW7RDtMQtBk7m2rYeSw;Bizarrap;716NhGYqD1jl2wI1Qkgq36;Quevedo;52iwsT98xCoGgiGntTiR7K;97
1IHWl5LamUGEuP4ozKQSXZ;Bad Bunny;4q3ewBCX7sLwd24euuV69X;Bad Bunny;4q3ewBCX7sLwd24euuV69X;95
5ww2BF9slyYgNOk37BlC4u;Manuel Turizo;0tmwSHipWxN12fsoLcFU3B;Manuel Turizo;0tmwSHipWxN12fsoLcFU3B;98
6Sq7ltF9Qa7SNFBsV5Cogx;Bad Bunny;4q3ewBCX7sLwd24euuV69X;Bad Bunny;4q3ewBCX7sLwd24euuV69X;96
6Sq7ltF9Qa7SNFBsV5Cogx;Bad Bunny;4q3ewBCX7sLwd24euuV69X;Chencho Corleone;37230BxxYs9ksS7OkZw3IU;96
6VAS7m73rDopQe7BdrFMpD;Bizarrap;716NhGYqD1jl2wI1Qkgq36;Bizarrap;716NhGYqD1jl2wI1Qkgq36;82
6VAS7m73rDopQe7BdrFMpD;Bizarrap;716NhGYqD1jl2wI1Qkgq36;Tiago PZK;5Y3MV9DZ0d87NnVm56qSY1;82
0Bv7O6fmZk3GrNQFYJaXPn;La Pantera;0IEzMvarfVycBJAXjjEZOL;La Pantera;0IEzMvarfVycBJAXjjEZOL;77
0Bv7O6fmZk3GrNQFYJaXPn;La Pantera;0IEzMvarfVycBJAXjjEZOL;Quevedo;52iwsT98xCoGgiGntTiR7K;77
0Bv7O6fmZk3GrNQFYJaXPn;La Pantera;0IEzMvarfVycBJAXjjEZOL;Juseph;5kgDdP7a4TsvkF08gpJGX0;77
0Bv7O6fmZk3GrNQFYJaXPn;La Pantera;0IEzMvarfVycBJAXjjEZOL;Abhir Hathi;2D8UzkIVdg1bj0Iqz6gjk0;77
0Bv7O6fmZk3GrNQFYJaXPn;La Pantera;0IEzMvarfVycBJAXjjEZOL;Bejo;0adJG3bdFTHCkTY28NkY4u;77
0Bv7O6fmZk3GrNQFYJaXPn;La Pantera;0IEzMvarfVycBJAXjjEZOL;Cruz Cafuné;0jeYkqwckGJoHQhhXwgzk3;77
0Bv7O6fmZk3GrNQFYJaXPn;La Pantera;0IEzMvarfVycBJAXjjEZOL;EL IMA;00vsUIEaNHw6qoQnh8DQM2;77
