Track_ID;Track_Main_Artist;Track_Main_Artist_ID;Track_Featured_Artist;Track_Featured_Artist_ID;Track_Popularity
4LRPiXqCikLlN15c3yImP7;Harry Styles;6KImCVD70vtIoJWnq6nGn3;Harry Styles;6KImCVD70vtIoJWnq6nGn3;94
02MWAaffLxlfxAUY7c5dvx;Glass Animals;4yvcSjfu4PC0CYQyLy4wSq;Glass Animals;4yvcSjfu4PC0CYQyLy4wSq;88
5HCyWlXZPP0y6Gqq8TgA20;The Kid LAROI;2tIP7SsRs7vjIcLrU85W8J;The Kid LAROI;2tIP7SsRs7vjIcLrU85W8J;88
5HCyWlXZPP0y6Gqq8TgA20;The Kid LAROI;2tIP7SsRs7vjIcLrU85W8J;Justin Bieber;1uNFoZAHBGtllmzznpCI3s;88
6Sq7ltF9Qa7SNFBsV5Cogx;Bad Bunny;4q3ewBCX7sLwd24euuV69X;Bad Bunny;4q3ewBCX7sLwd24euuV69X;96
6Sq7ltF9Qa7SNFBsV5Cogx;Bad Bunny;4q3ewBCX7sLwd24euuV69X;Chencho Corleone;37230BxxYs9ksS7OkZw3IU;96
1IHWl5LamUGEuP4ozKQSXZ;Bad Bunny;4q3ewBCX7sLwd24euuV69X;Bad Bunny;4q3ewBCX7sLwd24euuV69X;95
6zSpb8dQRaw0M1dK8PBwQz;Elton John;3PhoLpVuITZKcymswpck5b;Elton John;3PhoLpVuITZKcymswpck5b;88
6zSpb8dQRaw0M1dK8PBwQz;Elton John;3PhoLpVuITZKcymswpck5b;Dua Lipa;6M2wZ9GZgrQXHCFfjv46we;88
6zSpb8dQRaw0M1dK8PBwQz;Elton John;3PhoLpVuITZKcymswpck5b;PNAU;6n28c9qs9hNGriNa72b26u;88
1r9xUipOqoNwggBpENDsvJ;Imagine Dragons;53XhwfbYqKCa1cC15pYq2q;Imagine Dragons;53XhwfbYqKCa1cC15pYq2q;86
1r9xUipOqoNwggBpENDsvJ;Imagine Dragons;53XhwfbYqKCa1cC15pYq2q;JID;6U3ybJ9UHNKEdsH7ktGBZ7;86
1r9xUipOqoNwggBpENDsvJ;Imagine Dragons;53XhwfbYqKCa1cC15pYq2q;Arcane;57nPqD7z62gDdq37US9XJR;86
1r9xUipOqoNwggBpENDsvJ;Imagine Dragons;53XhwfbYqKCa1cC15pYq2q;League of Legends;47mIJdHORyRerp4os813jD;86
